sentence,difficulty
A mouthful of: This expression refers to the amount of a food you put in your mouth at one time.,B1
"If you followed the directions more seriously, you would find your way through these alleys more easily.",B2
"As soon as Julie discovered the truth, she was furious",C2
Right when we need comfort the most,A2
"The train, in its time, was also feared. Brigitte Munier Robots arouse the enthusiasm of Westerners, but also their anxiety: instead of seeing them as simple tools or, in the Japanese way, as friendly helpers, they fear competitors threatening their future.",C1
I just moved into my new house.,A2
"And this year, it’s happening!",B1
"Given this configuration, this area is poorly suited to field measures to limit the spread of ground voles; since roads do not represent a very strong barrier for this species, we can also think that such a result is an artifact due to the artificial cutting of a single patch of meadow.",C1
"After careful consideration, the European Commission had a brilliant idea: to tackle a new project, which had until then strangely escaped its legendary sagacity.",C1
"With experience, the telemarketer can become leader of a telemarketer center, team supervisor, floor manager.",B1
"And you, what are you going to do?",A2
The stock market valuations of Internet companies like AMAZON,C2
"On others, we heard a series of explosions, while protesters chanted: “our revolt must succeed”.",C1
Baby boomers are convinced: everything can start again at 50.,C1
"Nothing was so beautiful, so nimble, so brilliant, so well ordered as the two armies.",B1
What's your name ?,A1
"Released by the European Rosetta probe, the small robot landed late Wednesday afternoon on the nucleus of the Tchourioumov-Gerassimenko comet, a first in space history.",B2
"She hung her laundry on the back of a chair, she remained standing, turning, examining the furniture, struck with such amazement that her tears no longer flowed; he had a penny left out of the four pennies he kept for washing it. Then, hearing Étienne and Claude laughing at the window, already consoled, she approached, took their heads under her arms, forgot herself for a moment in front of this gray road, where she had seen, in the morning, the working people waking up. , the giant work of Paris; at that hour, the pavement heated by the tasks of the day lit a fiery reverberation above the town, behind the granting wall; it was on this pavement, in this furnace-like air, that she was thrown all alone with the little ones and she took one look along the exterior boulevards, to the right, to the left, stopping at both ends, taken with surprise. a dull terror, as if his life, from now on, would take place there, between a slaughterhouse and a hospital.",C2
"The serum, which suffered in comparison with its competitors Pfizer and Moderna, is now considered as effective in preventing the risk of hospitalization.",C1
"I identified three fundamental fears of the robot: the instinctive fear of metal against flesh, the societal, almost desperate fear of the robot that will steal man's work, and, finally, the identity fear of seeing the robot overtake us. in intellectual or other capacities.",C2
But others may prefer The Chess Assassin or The Annals of the Kangourou (Editions du Kangourou).,C2
Will you go hiking?,B1
there are more than 50 French-speaking countries!,A1
They already have the obligation to bring them home.,B1
"Another: Yes, we did give them names",A2
You will attach supporting documents and documents in digital format to your form.,B2
"Thank you, have a good trip.",A1
"This gesture, almost insensible, sent a great shiver down his skin from head to toe, and, turning quickly, he threw himself at her, seeking her mouth with his lips and the bare flesh with his hands.",C2
He chatters with floured badgers and pasteurized badgers.,C2
"With his new partner, fourteen years his junior, he says he is “living a rebirth”.",C1
"Between those who swear by the introduction of computer science into compulsory education, and those who fear that we want to transform primary school into a large computer science school, there are nevertheless avenues for initiating teachers and promote a transition from extracurricular to school, without having to wait for a reform of the common base which will take years.",C2
"Among the fair trade players, a distinction must be made between ""labelling"" organizations, which certify import channels by product, and importers - wholesalers, retailers or boutique networks, such as Artisans du monde -, who have their own contacts with producers and self-monitor, for lack of anything better.",C1
It can therefore open up other reflections and ultimately become very enriching.,B2
"This peasant cried and claimed that everything had been taken from him; Fabrizio gave him a crown, and he found some oats.",B2
"The first limitation is that the spatial quota instruments taken into account give an idea of ​​the ""potential"" control of urbanization, control deriving from the possibilities provided by the legal and strategic framework which each canton has adopted.",C2
My parents liked the little cat,A2
Protecting against data alteration and being certain that it has not been modified during storage or processing contributes to the quality of decision-making based on it.,C2
"[.] We are players/played3"".",B2
"When I read, I discovered some surprising new things about the tenants who occupied the apartment.",B1
You said the only smart thing!,A2
My friend doesn't answer the phone.,A1
My brother Patrice is younger than me,A2
"They are on vacation, it is only us on this part of the island.",B1
"When there are clouds with falling snow, it is going to snow and there may be fog, risk of freezing, ice and the temperature will be very low",B1
"A staircase led us to a wide, high passageway which went around the building, serving a succession of offices.",C2
"Whether you are looking for a simple ad or a recruiter, you are sure not to miss any job offers thanks to our personalized alert system.",B2
"So it cost us money, she gets angry.",B1
What is your name ?,A1
"Fabrice, barely sixteen years old, represented the head of the house very well.",B2
"Yes, I have been in Paris for barely twenty days.",A1
"Learning to code and more broadly a general digital culture at school is a measure called for for a long time by the Academy of Sciences, supported by key players in the digital sector, such as the CNIL or the National Council. digital, and which even appears in a bill from UMP MP Laure de la Raudière.",C2
Why didn't you hand over the towel when you already had the plans?,B1
"When I get home, I ask my parents if I can call you to hear from you.",A2
"The important thing, obviously, for European taxpayers who would like to cancel their debt, is that each creditor is treated in the same way.",B2
"Even Burma's ambassador to the United Nations, Kyaw Moe Tun, broke dramatically with the coup generals last week by calling for ""an end to the coup.""",C1
The director would have given new instructions to the staff.,B2
Your eyes observe me.,C2
Many authors have speculated on different aspects of Leonardo's personality.,C1
"The consequences on nature are extremely serious, particularly on the oceans which, according to the American journal Science, contain more than 110 million tonnes of plastic waste.",B2
"If seven million city dwellers dream of starting a new life in the fields, not all of them take action. “There is always a triggering event,” notes the director of Changer tout.",B2
"My father, although he strictly observed external conventions, quite frequently allowed himself to make light remarks about love affairs: he regarded them as amusements, if not permissible, at least excusable, and considered marriage alone in a serious light. .",C2
"After all, what does she offer him other than boredom and a big ball of anxiety in the pit of his stomach?",A2
Their adjoining house in Paris was practically new when they bought it.,B2
Galician emigration underlies the evolution of the population and largely explains it.,C1
These dens blend into nature to be almost invisible.,C1
Men believe themselves to be free when they are constrained or determined by their nature,C2
"We had to radically change course by choosing quality cuisine accessible to as many people as possible, instead of which we fell back on safe values ​​that were now outdated and indigestible.",B2
"Our prophecies say that as long as there are wild bison, we will survive.",C1
"My name is Camille and when I was a child, my head was full of dreams.",A2
"Reaffirming that the Senate had not engaged in any blackmail contrary to the allegations of the rapporteur for the National Assembly, he, on the contrary, affirmed that the position of the High Assembly was part of a coherent and constant conception of society.",C1
"A few blows of the beater still sounded, spaced apart, in the middle of softened laughter, of conversations which grew louder in the gluttonous sound of jaws; while the steam engine, going as it did, without rest or respite, seemed to raise its voice, vibrating, humming, filling the immense room. But not one of the women heard him; it was like the very breathing of the washhouse, a fiery breath collecting the eternal mist that floated under the beams of the ceiling. The heat was becoming intolerable; rays of sunlight entered on the left, through the high windows, lighting up the smoking vapors of opalized tablecloths, of a pink gray and a very tender blue gray; and, as complaints arose, the boy Charles went from one window to another, drawing heavy canvas blinds; then he passed to the other side, to the side of the shadow, and opened the skylights.",C2
What happiness!,A2
We seem to forget that school staff already apply this measure.,B2
"An association for the promotion and development of online learning notes that if the calculator has ""replaced mental arithmetic, including for basic operations, and that the use of a computer connected to the Internet could easily replace part of our memory, the basic operations have been memorized in advance and it is thanks to this assimilation of basic knowledge that the learner can use the calculator.",C1
All except one little bird.,A1
His health has deteriorated due to a severe infection and his days are numbered.,B2
The thing has just been certified to me.,B1
The news caused a stir: this curfew affair actually hides a deeper anguish.,B1
I am pleased to announce that your application for registration at the University of Strasbourg in the first year of a master's degree in Sciences and Society has been accepted.,B1
"A large majority of French people are in favor of changing the calculation of civil servants' retirement as part of the reform in preparation, according to a survey published Friday",C2
"Also, happy young people manage to buy their autonomy and their peace of mind through success in high school which does not devour them.",B2
"Once he's finished everything, Théo can finally go play and have fun before having dinner with his parents.",A2
"Fifty is a good age: we gain in depth and kindness, notes Philippe Wattier.",C1
The few figures published to date give an idea of ​​the deterioration of the climate between students of both sexes.,C1
"But a difference appears at the end of school, with boys gaining an advantage over girls in this last area.",B2
"Green, for example, is the color of grass and tree leaves.",A1
She's not like any girl I know.,A2
"The liquid masses carry the largest known species of mammals, and perhaps they contain molluscs of incomparable size, crustaceans frightening to contemplate, such as lobsters measuring a hundred meters or crabs weighing two hundred tonnes!",B2
"It is clear that the gap is widening between developing countries which are gradually emerging from chronic shortages, and those which are stagnating or regressing in their fight against hunger.",C1
"An eighth edition dominated by the duel at the top with Alex Thomson, a chase led by Armel since November 23, forty-seven days of high tension which end today",C1
Why can't we enter the room?,A1
See you soon.,A2
"It was this comparison, tacitly and tirelessly repeated in the same canvas, which introduced this powerful and multiform unity, the cause, sometimes not clearly perceived by them, of the enthusiasm that Elstir's painting excited among certain amateurs.",C2
Be serious,B2
Blessed is the person who is freed from this original fear of failing and being wrong.,C2
I take the train.,A1
"It is in his letter to Schuller, taken from his Correspondence, that Spinoza denounces the illusion of free will",C2
I have breakfast in the kitchen.,A1
We do it this way from time to time.,A2
"While during the Paleolithic, diffusion had split the ecumene into small groups, the trend since the end of the last glaciation has been towards the thickening of relationships in the Old World, through an increase in numbers and the weaving of interconnections.",C2
"However, demographic growth mainly concerns developing countries, which today experience problems of undernourishment and poor nutrition.",C1
I am in my bedroom.,A1
An undeniable serenity was reflected on his features.,C2
New Year's Day corresponds to January 1.,A1
"Being an art lover, Yves Saint Laurent has built up, over the years, a large collection of precious objects and paintings which have inspired some of his creations.",C1
They followed a hollow path dominated on both sides by an embankment six feet high.,C2
I don't understand.,A1
"But, from that moment on, she no longer listened; and the choir of guests, the scene of Ashton and his valet, the great duet in D major, everything passed for her in the distance, as if the instruments had become less sonorous and the characters more remote; she remembered the card games at the pharmacist's, and the walk to the nurse's house, the readings under the arbor, the tête-à-têtes by the fire, all this poor love so calm and so long, so discreet, so tender , and which she had forgotten however.",C2
"And our minds which receive instructions from these organs, variously impressed, understand, analyze and judge as if each of us belonged to another race.",C1
"Too concrete perhaps after the dream time. No terminus seems, for the writer, to be able to justify having endured so much suffering, nor to encourage us to break with the time of wandering.",C2
"“We are exploring the best legal route, probably through the inter-American system, invoking the 1948 Declaration of Human Rights.”",C1
"In this regard, language courses in college could be profitably replaced by phonebook memorization sessions",C2
I prefer another piece of jewelry.,A1
He doesn't have a jacket,A1
Another disadvantage of this ban is the risk of depriving adolescents of learning about the rational use of the Internet and social networks.,B2
The massacre is commemorated on the Chicago city flag with its first red star.,B1
I can't find the market street.,A1
"The fruit of thought developed since the Renaissance, individualism is a social project in which everyone should find the best conditions for their achievement and fulfillment.",C1
"This year, no less than 12 million students returned to school.",A2
"Sébastien Granet and Hélène Lavoie, the chef, welcomed us despite a busload of visitors laughing",C2
Parents who have trouble cutting the cord are surprised that their children prefer to connect their voicemail and do not answer their calls.,B2
"This is why we are asking today that the President of the Republic keeps his word and submits, 'without filter', the Convention's proposals to referendum, to parliament or to direct regulatory application.",C1
I can't find my house keys.,A1
"Manufacturers pollute water, air and soil with their toxic products.",B2
He puts on his best suit and his hat,B1
"First, the last presidential election, where the vote for the National Front was as much by young voters as by their elders.",B2
"According to a survey published last May by BVA (French survey company) and Syntec Numérique (professional federation of the IT sector) in favor of the measure, 87% of French people would even agree that computer programming be taught at school. school (24% from primary school, 41% from middle school).",C2
Suburban parents have organized their children's homework.,A2
You waited for the surprise that your parents had promised you,C2
"The duo does not have much in common, apart from their relatively conservative positions, which earns them the wrath of progressives.",B2
"However, of the approximately 6,000 languages ​​that currently exist in the world, half have fewer than 10,000 speakers and a quarter fewer than 1,000.",C1
"Passers-by seem less in a hurry, and linger more easily in front of a storefront or on the shelves.",B2
Who owns the dog that barks day and night?,B1
She knows how to speak English and Spanish,A1
This phenomenon is the appearance of a new generation.,B2
"After the luxury atmosphere, here it's like a quiet village",B1
"Figures taken from one of the rare surveys on the subject, carried out in 2000 (published in 2001) by the Institute for Research on the Economics of Education among the parents of 2,500 children at the academy.",C2
Monet painted this portrait full of sensuality and heavy with symbolism.,C1
She thinks of him.,A1
"Yes, the hurricane made landfall last night in northern Nicaragua, it then spread to several countries in Central America",B1
I just moved into my new house,A2
"In any case, everyone knows that it can take several months to choose your ideal accommodation.",B1
"Among the inhabitants of the region, there are those who want to return and those who do not want",A2
We provide experimental and theoretical arguments in favor of an intramolecular mechanism.,C2
"We choose the date, the place and the project that interests us, we pay and we leave!",B1
"In the countryside, it's different!",A2
Make groups of three people.,A1
"The room crackled under the bravos; we started the whole strette again; the lovers spoke of the flowers of their tomb, of oaths, of exile, of fate, of hopes, and when they uttered the final farewell, Emma uttered a sharp cry, which merged with the vibration of the last chords.",C2
The President promised that he would keep all his promises.,B1
What are you going to do tomorrow?,B1
Where is the supermarket?,A1
"He gave this leaf to the lark, and ordered him to drop it on the dragon's head.",A2
I advise you to listen to this story twice before moving on.,A2
"After 22 years of Parisian life, this former graphic designer decided to devote himself to his lifelong passion: cooking.",C1
I don't want to see him anymore because we had a fight the last time we saw each other.,A2
"In France, if I speak English to my son, Mathias, he responds to me instead in French.",B1
We eat them together on Saturday evening.,A1
It means “Firefighters”,C1
Sixty-year-olds are young.,B2
"And the old chief is always right, because he is the only one who speaks to the gods.",B1
I tried to contact you an hour ago.,A2
This requires equipment and sufficient space.,B2
I am thirsty.,A1
Leonardo da Vinci had many friends who are recognized in their respective fields or have had an important influence on History.,B2
"The incarnation places us in the presence of the immutable which is in itself something general; and this immutable taking on the character of individuality, this very character becomes something universal.",C2
Do you have a discount?,A1
"I don't like rain, especially during the holidays.",A1
I will be delighted to welcome you.,A2
My parents like the little cat.,A2
"As the child separated from his mother finds in his ""soft toy"" a means of reassuring himself, wouldn't the smartphone, a transitional object, make it possible to fight against the frustrations and negative affects caused by the social world?",C2
Twitter will ban users for repeated misinformation about vaccines.,B2
"He is, more generally and indisputably, the best player in the world.",B1
"This ""end of grand narratives"" is largely the one where places were classified by stages - the succession of Marxist modes of production represented the most formalized version, but talking about underdevelopment or takeoff was part of the same evolutionary paradigm. .",C2
"Here, work is a divine punishment, imposed by God on Men to punish them for their disobedience",C2
"Even without necessarily considering themselves a ""cyberaddict"", everyone can draw inspiration from these techniques for advice.",C2
They are cheap,A1
"I know she lives alone with her father, but I never asked her why.",B1
"These two stages are characterized by the difficulty experienced by the couple when faced with the choices imposed by the education of their children (school, religion, language, etc.).",C2
"Thus the unalterable patience of robot teachers in North Korea and Japan suits autistic children, but no one knows how other children who do not learn to deal with the moods of a human teacher will develop.",C1
The scientific community has little appreciation for the presence of women.,B2
Older generations are much more conservative than younger generations.,B2
Are you at home ?,A1
When to meet them?,A2
"Between those who swear by the introduction of computer science as compulsory education, and those who are afraid that we want to transform primary school into a preparation for School 42, there are nevertheless avenues for initiating teachers and promote a transition from extracurricular to school, without having to wait for a reform of the common base which will take years.",C2
An emergency message from the firefighters has just been received:,A2
So I was a high school student and a firefighter at the same time.,A2
A journalist from Art Press interviewed Agathe about the performance in which she participated.,B2
I don't think the kids will succeed.,A2
It's true that they are very good but I'm afraid he will get sick,B1
"It's okay for Saturday, I'm coming with my sister Katrine.",A1
"Cyanobacteria are distinguished from Bacteria by the presence of chlorophyll A and water-soluble accessory pigments, red and blue phycobilins.",C1
"These will only influence scientific research towards the middle of the 17th century: and we can, it seems to me, attribute the merit of having drawn the first experimental consequences from them in his research on extension to the great naturalist Réaumur. of life in insects.",C2
"Even at university, studies are too focused and only 5% of students who have a doctorate will occupy an academic position.",C2
"And if drinking hot makes you hot, it's a blessing in disguise because the high temperature of the liquid increases the body's internal temperature and thus stimulates sweating.",B1
"In the evening, you must return by taking the same route as in the morning.",A2
I'm really more in the flow,A2
The elastic has stretched.,B1
"This author, so widely read for his impertinent Grammar, also offers. Games for reading quickly (Retz)",C2
"Similar customs existed in the past, particularly in Finistère: children had fun digging beets at All Saints' Day to scare the people in the neighborhood.",B2
"She looks like a baby tiger, but she's a very scared tiger.",A2
"Numerous indicators allow it to monitor the evolution of the situation, and as the epidemic spreads, new tools become necessary to have an overall vision of the situation.",C1
Alice has a dog.,A1
A rolling stone gathers no moss,C1
She was not here.,A1
Answers to the questions we ask about ourselves and others.,A2
"However, the head of the service confirmed to us that the conditions for receiving and issuing your administrative documents were respected according to the standards established by our ministry.",C2
All young people?,A2
"He had taken his beautiful green suitcase that he has been carrying around for twenty years, to spend five days of vacation near Vannes with his old friend Sylvaine whom he saw a lot before living in Valencienne",B1
"Then, we will go to the local cinema which organizes special screenings every year",C1
The results of two studies on the metrics used by companies to evaluate their intellectual capital,C2
The entire city is lit up around the Christmas market which delights passers-by with its illuminations warming hearts in the cold of winter,B2
"If you are interested, call me.",A1
"Today's fifty-somethings imagine retirement to be active, necessarily active.",C1
My father had a transfer to come work in Paris.,A1
"You can also go to the theater, museums or cinema",A1
"I'm still at the office, I'll come home later.",A1
We're going to eat in the garden.,A1
"He would have emptied an entire barrel in the same way, it seemed to him; he would have eaten an ox, strangled a lion.",B2
"A leaf taken from a tree of paradise, on which is written a word in letters of gold by the Eternal Father.",A2
"Don't worry, you'll quickly get used to your new life.",A2
Social networks are the subject of an astonishing paradox.,B2
"This is a cultural enrichment, because the child can then open up, through this different language, to typological traits present in many other languages, to which Breton French bilingualism offers indirect access.",C2
You studied well and passed easily.,A2
The newspaper did not explain how this prisoner escaped.,B1
"He doesn't know her well, so he asks his other colleagues",A1
The anecdote is revealing.,B2
"This is the year when hundreds of thousands of baby boomers, born during the birth peak of 1946, will retire.",B2
"To get there, get off at the Louvre museum station, turn right and continue straight",A1
The originality of the mechanism is to use photons and convert them into chemical energy which is found in the binding energy of the carbon and hydrogen atoms in the carbohydrates formed.,C1
"Additionally, 42% of teens say they would be “devastated” if they had to leave home for several days without their phone.",B2
"And you, are you still a cook?",A1
"By mixing them, other colors can be formed. Green, for example, is the color of grass and tree leaves.",B1
"Finally, according to the High Council on Public Health, ""places broadcasting amplified music"" must not exceed the average level of 105 dB for fifteen minutes, which is rarely respected.",B2
"Debts recorded at the individual level are attributed jointly to all members of the household, the results disseminated thus indicating the percentages of the population living in a household with the type(s) of debt considered.",C1
She has an unattractive physique.,B1
The big Meaulnes threw his hat on the ground and I saw that his hair was completely shaved like a peasant.,B2
"In 1985, the Japanese economist Ohmae Kenichi invented the convenient formula of ""triad"" to describe the new polarization of the World.",C1
The study of the influence of short branched chains on the metabolism of xenobiotics is developed in two parts.,C2
The way in which the World was constructed based on the great discoveries is therefore largely responsible for its contemporary geography.,C2
"“I suffered them, and I made my children suffer them, until I dared to free myself from them, summarizes this inventor of more fun products",C2
"It has become common to deplore the fact that France has acquired the position of European champion of compulsory deductions, an expression which includes state taxes, local taxes, taxes and social contributions: the share of gross domestic product (GDP ) that the authorities take from national wealth has reached 48.4%, while the European average is 40.2%.",C2
No net will be able to prevent Atlantic algae from sailing and drawing their flavor from the waters they pass through.,B2
"Once their project is complete, they talk about freedom, harmony, rebirth.",C1
"It is true that Pierre has fewer books than his friends, but his are better.",A2
You are one of Zoé's friends.,A1
"Each of us therefore simply has an illusion of the world, a poetic, sentimental, joyful, melancholy, dirty or gloomy illusion depending on our nature.",C1
"They lunched face to face, looking at each other and smiling constantly, occupied only with themselves, completely enveloped by the sweet charm of a tenderness that is beginning.",C1
Does she work in the IT field too?,A1
"Action may be considered, notwithstanding remaining doubts as to the causal link.",C2
"We can show the new father as an example for other less involved fathers, but without making him either an object of curiosity or an absolute hero to whom a statue should be erected.",B2
European standards are absurd and are suffocating us.,B2
Mr. Cruchon has just given an answer to our question.,A2
It is possible to cycle in a park around a fortified citadel.,A2
She hasn't worked here for two weeks.,A2
Let us therefore not seek assurance and firmness.,B2
Young people are less subject to moral imperatives than to those of success.,B2
Jean has a girlfriend.,A1
"Senators elected by majority vote who accept government functions are replaced, until the expiration of a period of one month following the cessation of these functions, by the people elected at the same time as them for this purpose.",C1
"The Latin etymology of the word work, ""tripalium"", means ""instrument of torture""",C2
"Beyond the aesthetic inconvenience, this waste threatens half of seabirds and at least 200 species of fish, crustaceans and mammals living in the oceans because they mistake this waste for food.",B2
"They promised to show me all of London: we will visit the museums, monuments and parks",A1
"For Catherine Down, it's a relief not to have to go through this ordeal alone, even if the idea of ​​sharing her small studio initially distressed her.",B1
"Know here that the mare is impassioned when the stallion penetrates her, impassioned and, yet, we are not unaware that the stallion's penis is worthy of esteem when it comes out of its sheath.",C2
The children didn't want to work on their homework after school.,A2
(Note that learning French grammar has the same objectives.) It is perfectly known that the only viable method for learning a foreign language is immersion.,C2
Thank you for traveling with France Air.,A1
"An association for the promotion and development of online learning notes that if the calculator has supplanted mental arithmetic, including for basic operations, and that the use of a computer connected to the Internet could easily replace part of our memory , the basic operations have been memorized beforehand and it is thanks to this assimilation of basic knowledge that the learner can use the calculator.",B2
They created a new modern society on the ruins of the old civilization.,C1
"“I will only let you out on the condition that you solemnly swear that you will not reveal to anyone where you slept, or how you entered the snake cave!” said the king.",B1
The lakeside is really beautiful and I do a lot of sports.,A2
He plays guitar in a bar.,A1
Inside my house there is a large living room with a table and four chairs to accommodate my friends.,A2
"A beautiful tight dress, she wants to highlight her shapes",C1
He told us that he finished his film yesterday and that he was going to release a new one in two weeks.,B1
"Even though the French Revolution was already underway, the symbolic capture of the July fortress, which had only 7 prisoners at the time, remains the key event of the revolt",B2
"For weeks, the White House had courted a handful of moderate Republican and Democratic senators who today hold the power to block, or save, its major projects.",B2
"Small, plump and haughtily shy, he had a slightly protruding belly, the overhang of which offered an upward slope which highlighted the buttons of his vest and his trousers, marking the exact middle of his body with that obstetric line that we sees on the fruits: the bow which is the inevitable price of heavy rounds of Burgundy, schlagsahne and beer.",C2
"Certainly, the individual, active and voluntary, is the only initiator of his reconversion.",C1
Do you want me to watch with you?,A2
Every Tuesday he goes to football practice.,A1
The holidays are coming and I would love to see you!,A2
"The old woman nodded her head, under her large old-fashioned cornet, whose curved wings almost completely enveloped her in their starched white muslins.",C2
Once again.,A1
"To go to my room, I have to climb a staircase",A2
"In this situation while looking for other possible factors of disease, a ferritin level assessment, as well as other tests may be wise.",C1
"The governor of the colony, William Bradford, then decided to proclaim a day of thanksgiving to thank God for having given them a land ultimately so welcoming with such helpful natives.",B2
Around a hundred automatic cameras installed on French soil constantly monitor the re-entry of meteorites into the atmosphere.,C1
"The next day, the assistant called me to see if I was available on Monday.",B1
"In the 1990s, Valéry Giscard d'Estaing was committed to Europe, but in 2005, his draft European Constitution was rejected in France by referendum. The ""no"" won by a wide margin",C1
How I survived a narcissistic pervert,B2
She is looking for a job as a receptionist in a hotel,A1
"If the multiplicity of cultures is a necessary condition for successful human development, then the preservation of linguistic diversity is essential, since written and oral languages ​​are the primary mode of transmission of cultures.",C1
"Afterwards, I go into the kitchen and drink my coffee",A1
"I'm not going to go with them, since they've already left!",A2
"The vast majority of professional waste is mixed with rubble or packaging, and buried in the ground because it is not isolated for processing, he says.",B2
There are even restaurants,A2
Waiter: Is there a problem with your table?,A2
"An exception, in an audiovisual landscape where there are many rules.",B1
"The incessant demands that we face force us to exercise iron discipline. To avoid being overwhelmed, it becomes necessary to establish rules and limits.",C2
His return was less prompt than the Count of P *** hoped.,C2
Mathematical reasoning is closer to masculine logic.,B2
But the dog is not the only one to learn!,B1
Adulthood crisis or rational choice?,C1
The dog needs to meet other animals.,B1
It seems that we eat well: one of the specialties of the island is goat cheese.,A2
My husband is an editor.,A1
"Dismounting, he went along the hazel and rose hips, followed by the two horses that the stable boy held by the reins, went through the cracks of silence, bare-chested in the midday sun, went and smiled, strange and princely, sure of victory.",C2
"The skill of his plan will therefore not consist in emotion or charm, in an endearing beginning or in a moving catastrophe, but in the skillful grouping of small constant facts from which the definitive meaning of the work will emerge. .",C1
"The world population, despite a clear slowdown, is increasing and could reach 9.3 billion people in 2050, and peak at around 10.5 to 11 billion at the end of the 21st century.",C1
"I went to hide in a corner of the living room, behind a group of men who were talking.",C2
"Yes, there is a large wardrobe.",A1
"When there are social movements in France, the presence of young people, students and high school students, is often decisive.",B2
"Lord's Day dear to the Church, it was suppressed after the revolution of 1789, then derided by Napoleon, under the pretext that, ""the people eating on Sunday, they must be able to work on Sunday"".",C2
Things are about to go wrong.,A2
"The parade goes down Avenue Champs-Élysées, from Place de l'Étoile, aka Place Charles-de-Gaulle, to Place de la Concorde",B2
I have to work a lot but I like it,A1
"Emma dreamed of her wedding day: and she saw herself there again, in the middle of the wheat, on the little path, when we were walking towards the church.",C2
"On the sides and behind the wedding party, the whole village was buzzing like a swarm.",C2
"As soon as you opened the door, the cat eagerly entered.",C2
"Despite the 35 hours, the Bureau of Labor Statistics of the American Federal Department of Labor establishes that a French person produces more wealth than an Englishman, a German or a Japanese.",C1
"No more gray and dull facades, no more ambient gloom",B2
"After having fought against the philosophy of reflection, Hegel must therefore undertake a fight against the philosophy of romanticism.",C2
But I'm not entirely sure I'll succeed.,B1
I don't really agree with what Monsieur says.,A2
