sentence,difficulty
"Elle accrochait son linge au dossier d'une chaise, elle restait debout, se retournant, examinant les meubles, frappée d'un tel étonnement que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous qu'il gardait pour le laver. Puis, entendant Étienne et Claude rire à la fenêtre, déjà consolés, elle s'approcha, leur prit la tête sous les bras, s'oublia un instant devant cette route grise, où elle avait vu, le matin, les ouvriers se réveiller. . , l'œuvre géante de Paris ; à cette heure, le pavé chauffé par les travaux du jour faisait une réverbération enflammée au-dessus de la ville, derrière le mur d'octroi ; c'était sur ce trottoir, dans cet air de fournaise, qu'elle était jetée toute seule avec les petits et elle jetait un coup d'œil le long des boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux bouts, surprise. une terreur sourde, comme si sa vie, désormais, se déroulerait là, entre un abattoir et un hôpital.",C2
"Le sérum, qui a souffert par rapport à ses concurrents Pfizer et Moderna, est désormais considéré comme efficace pour prévenir les risques d'hospitalisation.",C1
"J'ai identifié trois peurs fondamentales du robot : la peur instinctive du métal contre la chair, la peur sociétale, presque désespérée, du robot qui va voler le travail de l'homme et, enfin, la peur identitaire de voir le robot nous dépasser. dans des capacités intellectuelles ou autres.",C2
Mais d'autres préféreront peut-être L'Assassin des échecs ou Les Annales du Kangourou (Editions du Kangourou).,C2
Allez-vous faire de la randonnée ?,B1
il y a plus de 50 pays francophones !,A1
Ils ont déjà l'obligation de les ramener chez eux.,B1
"Un autre : Oui, nous leur avons donné des noms",A2
Vous joindrez à votre formulaire les pièces justificatives et les documents sous format numérique.,B2
"Merci, bon voyage.",A1
"Ce geste, presque insensible, lui provoqua un grand frisson de la tête aux pieds, et, se retournant vivement, il se jeta sur elle, cherchant sa bouche de ses lèvres et la chair nue de ses mains.",C2
Il bavarde avec des blaireaux farinés et des blaireaux pasteurisés.,C2
"Avec sa nouvelle compagne, de quatorze ans sa cadette, il dit « vivre une renaissance ».",C1
"Entre ceux qui ne jurent que par l'introduction de l'informatique dans l'enseignement obligatoire, et ceux qui craignent que l'on veuille transformer l'école primaire en une grande école d'informatique, il existe néanmoins des pistes pour initier les enseignants et favoriser une transition du périscolaire vers le scolaire, sans pour autant avoir attendre une réforme du socle commun qui prendra des années.",C2
"Parmi les acteurs du commerce équitable, il faut distinguer les organismes de « labellisation », qui certifient les filières d'importation par produit, et les importateurs – grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde –, qui ont leurs propres contacts avec les producteurs et leurs propres -moniteur, faute de mieux.",C1
Cela peut donc ouvrir à d’autres réflexions et devenir finalement très enrichissant.,B2
Ce paysan pleurait et prétendait qu'on lui avait tout pris ; Fabrice lui donna une couronne et il trouva de l'avoine.,B2
"La première limite est que les instruments de quotas spatiaux pris en compte donnent une idée du contrôle « potentiel » de l'urbanisation, contrôle découlant des possibilités offertes par le cadre juridique et stratégique que chaque canton s'est adopté.",C2
Mes parents aimaient le petit chat,A2
Se protéger contre l’altération des données et avoir la certitude qu’elles n’ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité de la prise de décision qui en découle.,C2
"[.] Nous sommes joueurs/joués3"".",B2
"En lisant, j'ai découvert des nouveautés surprenantes sur les locataires qui occupaient l'appartement.",B1
Vous avez dit la seule chose intelligente !,A2
Mon ami ne répond pas au téléphone.,A1
Mon frère Patrice est plus jeune que moi,A2
"Ils sont en vacances, il n'y a que nous sur cette partie de l'île.",B1
"Lorsqu'il y a des nuages ​​avec de la neige qui tombe, il va neiger et il peut y avoir du brouillard, risque de gel, de verglas et la température sera très basse.",B1
Un escalier nous conduisait à une coursive large et haute qui faisait le tour du bâtiment et desservait une succession de bureaux.,C2
"Que vous recherchiez une simple annonce ou un recruteur, vous êtes sûr de ne manquer aucune offre d'emploi grâce à notre système d'alerte personnalisé.",B2
"Alors ça nous a coûté de l'argent, elle s'énerve.",B1
Quel est ton nom ?,A1
"Fabrice, âgé d'à peine seize ans, représentait très bien le chef de maison.",B2
"Oui, je suis à Paris depuis à peine vingt jours.",A1
"L'apprentissage du code et plus largement une culture générale du numérique à l'école est une mesure réclamée depuis longtemps par l'Académie des sciences, soutenue par des acteurs clés du numérique, comme la CNIL ou le Conseil national. numérique, et qui apparaît même dans une proposition de loi de la députée UMP Laure de la Raudière.",C2
Pourquoi n’avez-vous pas rendu l’éponge alors que vous aviez déjà les plans ?,B1
"Quand je rentre à la maison, je demande à mes parents si je peux t'appeler pour avoir de tes nouvelles.",A2
"L'important, évidemment, pour les contribuables européens qui souhaitent annuler leur dette, c'est que chaque créancier soit traité de la même manière.",B2
"Même l'ambassadeur de Birmanie auprès des Nations Unies, Kyaw Moe Tun, a rompu radicalement avec les généraux putschistes la semaine dernière en appelant à « la fin du coup d'État ».",C1
Le directeur aurait donné de nouvelles instructions au personnel.,B2
Vos yeux m'observent.,C2
De nombreux auteurs ont spéculé sur différents aspects de la personnalité de Léonard.,C1
"Les conséquences sur la nature sont extrêmement graves, notamment sur les océans qui contiennent, selon la revue américaine Science, plus de 110 millions de tonnes de déchets plastiques.",B2
"Si sept millions de citadins rêvent de commencer une nouvelle vie aux champs, tous ne passent pas à l’action. « Il y a toujours un événement déclencheur », constate le directeur de Changer tout.",B2
"Mon père, bien qu'il observait strictement les conventions extérieures, se permettait assez souvent des remarques légères sur les amours : il les regardait comme des amusements, sinon permises, du moins excusables, et considérait le mariage seul avec sérieux. .",C2
"Après tout, que lui offre-t-elle d'autre que l'ennui et une grosse boule d'angoisse au creux du ventre ?",A2
Leur maison mitoyenne à Paris était pratiquement neuve lorsqu'ils l'achetèrent.,B2
L'émigration galicienne est à l'origine de l'évolution de la population et l'explique en grande partie.,C1
Ces tanières se fondent dans la nature pour être presque invisibles.,C1
Les hommes se croient libres lorsqu'ils sont contraints ou déterminés par leur nature,C2
"Il a fallu changer radicalement de cap en choisissant une cuisine de qualité accessible au plus grand nombre, au lieu de laquelle nous nous sommes rabattus sur des valeurs sûres, désormais dépassées et indigestes.",B2
"Nos prophéties disent que tant qu’il y aura des bisons sauvages, nous survivrons.",C1
"Je m'appelle Camille et quand j'étais enfant, j'avais la tête pleine de rêves.",A2
"Réaffirmant que le Sénat ne s'est livré à aucun chantage contrairement aux allégations du rapporteur de l'Assemblée nationale, il a au contraire affirmé que la position de la Haute Assemblée s'inscrivait dans une conception cohérente et constante de la société.",C1
"Quelques coups de batteur résonnaient encore, espacés, au milieu de rires adoucis, de conversations qui s'amplifiaient dans le bruit glouton des mâchoires ; tandis que la machine à vapeur, marchant sans repos ni répit, semblait élever la voix, vibrer, bourdonner, remplir l'immense salle. Mais aucune des femmes ne l’entendit ; c'était comme la respiration même du lavoir, un souffle de feu recueillant la brume éternelle qui flottait sous les poutres du plafond. La chaleur devenait intolérable ; des rayons de soleil entraient à gauche, par les hautes fenêtres, éclairant les vapeurs fumantes des nappes opalisées, d'un gris rose et d'un gris bleu très tendre ; et, au fur et à mesure des plaintes, le garçon Charles allait d'une fenêtre à l'autre, tirant de lourds stores de toile ; puis il passa de l'autre côté, du côté de l'ombre, et ouvrit les lucarnes.",C2
Quel bonheur !,A2
On semble oublier que le personnel scolaire applique déjà cette mesure.,B2
"Une association pour la promotion et le développement de l'apprentissage en ligne constate que si la calculatrice a « remplacé le calcul mental, y compris pour les opérations de base, et que l'utilisation d'un ordinateur connecté à Internet pourrait facilement remplacer une partie de notre mémoire, les opérations de base ont été mémorisé à l'avance et c'est grâce à cette assimilation des connaissances de base que l'apprenant peut utiliser la calculatrice.",C1
Tous sauf un petit oiseau.,A1
Sa santé s'est détériorée en raison d'une grave infection et ses jours sont comptés.,B2
La chose vient de m'être certifiée.,B1
La nouvelle a fait grand bruit : cette affaire de couvre-feu cache en réalité une angoisse plus profonde.,B1
J'ai le plaisir de vous annoncer que votre candidature à l'inscription à l'Université de Strasbourg en première année de master Sciences et Société a été acceptée.,B1
"Une large majorité de Français est favorable à une modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon une enquête publiée vendredi.",C2
"Aussi, des jeunes heureux parviennent à acheter leur autonomie et leur tranquillité d'esprit grâce à une réussite au lycée qui ne les dévore pas.",B2
"Une fois tout terminé, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2
"Cinquante ans, c'est un bel âge : on gagne en profondeur et en bienveillance, constate Philippe Wattier.",C1
Les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre étudiants des deux sexes.,C1
"Mais une différence apparaît à la fin de l'école, les garçons gagnant un avantage sur les filles dans ce dernier domaine.",B2
"Le vert, par exemple, est la couleur de l’herbe et des feuilles des arbres.",A1
Elle ne ressemble à aucune fille que je connais.,A2
"Les masses liquides transportent les plus grandes espèces de mammifères connues, et peut-être contiennent-elles des mollusques d'une taille incomparable, des crustacés effrayants à contempler, comme des homards mesurant une centaine de mètres ou des crabes pesant deux cents tonnes !",B2
Force est de constater que le fossé se creuse entre les pays en développement qui sortent progressivement de pénuries chroniques et ceux qui stagnent ou régressent dans leur lutte contre la faim.,C1
"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course-poursuite menée par Armel depuis le 23 novembre, quarante-sept jours de haute tension qui se terminent aujourd'hui",C1
Pourquoi ne pouvons-nous pas entrer dans la pièce ?,A1
À bientôt.,A2
"C'est cette comparaison, tacitement et inlassablement répétée dans la même toile, qui introduisait cette unité puissante et multiforme, cause, parfois mal perçue par eux, de l'enthousiasme que la peinture d'Elstir suscitait chez certains amateurs.",C2
Sois sérieux,B2
Bienheureuse est la personne libérée de cette peur originelle d’échouer et de se tromper.,C2
Je prends le train.,A1
"C'est dans sa lettre à Schuller, tirée de sa Correspondance, que Spinoza dénonce l'illusion du libre arbitre.",C2
Je prends le petit déjeuner dans la cuisine.,A1
Nous procédons ainsi de temps en temps.,A2
"Alors qu'au Paléolithique la diffusion avait divisé l'écoumène en petits groupes, la tendance depuis la fin de la dernière glaciation est à l'épaississement des relations dans l'Ancien Monde, à travers l'augmentation des effectifs et le tissage des interconnexions.",C2
"Cependant, la croissance démographique concerne principalement les pays en développement, qui connaissent aujourd’hui des problèmes de sous-alimentation et de mauvaise alimentation.",C1
Je suis dans ma chambre.,A1
Une indéniable sérénité se reflétait sur ses traits.,C2
Le jour de l'An correspond au 1er janvier.,A1
"Amateur d'art, Yves Saint Laurent a constitué, au fil des années, une large collection d'objets précieux et de tableaux qui ont inspiré certaines de ses créations.",C1
Ils suivirent un chemin creux dominé des deux côtés par un talus haut de six pieds.,C2
Je ne comprends pas.,A1
"Mais, à partir de ce moment, elle n'écoutait plus ; et le chœur des invités, la scène d'Ashton et de son valet de chambre, le grand duo en ré majeur, tout passait pour elle au loin, comme si les instruments étaient devenus moins sonores et les personnages plus lointains ; elle se souvenait des parties de cartes chez le pharmacien et de la promenade jusqu'à la maison de la nourrice, des lectures sous la tonnelle, des tête-à-tête au coin du feu, de tout ce pauvre amour si calme et si long, si discret, si tendre, et qu'elle avait pourtant oublié.",C2
"Et nos esprits qui reçoivent des instructions de ces organes, diversement impressionnés, comprennent, analysent et jugent comme si chacun de nous appartenait à une autre race.",C1
"Trop concret peut-être après le temps du rêve. Aucun terminus ne semble, pour l'écrivain, pouvoir justifier d'avoir enduré tant de souffrance, ni nous inciter à rompre avec le temps de l'errance.",C2
"« Nous explorons la meilleure voie juridique, probablement à travers le système interaméricain, en invoquant la Déclaration des droits de l’homme de 1948. »",C1
"À cet égard, les cours de langue au collège pourraient être avantageusement remplacés par des séances de mémorisation de répertoires téléphoniques.",C2
Je préfère un autre bijou.,A1
Il n'a pas de veste,A1
Un autre inconvénient de cette interdiction est le risque de priver les adolescents de l’apprentissage de l’usage rationnel d’Internet et des réseaux sociaux.,B2
Le massacre est commémoré sur le drapeau de la ville de Chicago avec sa première étoile rouge.,B1
Je ne trouve pas la rue du marché.,A1
"Fruit d'une pensée développée depuis la Renaissance, l'individualisme est un projet de société dans lequel chacun doit trouver les meilleures conditions de sa réalisation et de son épanouissement.",C1
"Cette année, pas moins de 12 millions d’élèves ont repris le chemin de l’école.",A2
"Sébastien Granet et Hélène Lavoie, le chef, nous ont accueillis malgré un bus rempli de visiteurs riant",C2
Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent connecter leur messagerie vocale et ne répondent pas à leurs appels.,B2
"C'est pourquoi nous demandons aujourd'hui au Président de la République de tenir parole et de soumettre, « sans filtre », les propositions de la Convention au référendum, au Parlement ou à l'application réglementaire directe.",C1
Je ne trouve pas les clés de ma maison.,A1
"Les industriels polluent l’eau, l’air et le sol avec leurs produits toxiques.",B2
Il met son plus beau costume et son chapeau,B1
"D'abord la dernière élection présidentielle, où le vote pour le Front National s'est porté autant sur les jeunes électeurs que sur leurs aînés.",B2
"Selon un sondage publié en mai dernier par la BVA (société d'enquête française) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soit enseignée à l'école. école (24% du primaire, 41% du collège).",C2
Les parents de banlieue ont organisé les devoirs de leurs enfants.,A2
Tu attendais la surprise que tes parents t'avaient promise,C2
"Le duo n’a pas grand-chose en commun, hormis leurs positions relativement conservatrices, ce qui leur vaut les foudres des progressistes.",B2
"Cependant, sur les quelque 6 000 langues qui existent actuellement dans le monde, la moitié comptent moins de 10 000 locuteurs et un quart moins de 1 000.",C1
"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dans les rayons.",B2
À qui appartient le chien qui aboie jour et nuit ?,B1
Elle sait parler anglais et espagnol,A1
Ce phénomène est l'apparition d'une nouvelle génération.,B2
"Après l'ambiance luxueuse, ici c'est comme un village tranquille",B1
"Des chiffres tirés d'une des rares enquêtes sur le sujet, réalisée en 2000 (publiée en 2001) par l'Institut de recherche en économie de l'éducation auprès des parents de 2 500 enfants de l'académie.",C2
Monet a peint ce portrait plein de sensualité et lourd de symbolisme.,C1
Elle pense à lui.,A1
"Oui, l'ouragan a touché terre cette nuit au nord du Nicaragua, il s'est ensuite propagé à plusieurs pays d'Amérique centrale.",B1
Je viens d'emménager dans ma nouvelle maison,A2
"Quoi qu’il en soit, chacun sait que le choix de son logement idéal peut prendre plusieurs mois.",B1
"Parmi les habitants de la région, il y a ceux qui veulent rentrer et ceux qui ne veulent pas",A2
Nous apportons des arguments expérimentaux et théoriques en faveur d'un mécanisme intramoléculaire.,C2
"On choisit la date, le lieu et le projet qui nous intéresse, on paie et on part !",B1
"A la campagne, c'est différent !",A2
Formez des groupes de trois personnes.,A1
"La salle crépitait sous les bravos ; nous avons recommencé toute la ruette ; les amants parlaient des fleurs de leur tombeau, des serments, de l'exil, du destin, des espoirs, et lorsqu'ils prononcèrent le dernier adieu, Emma poussa un cri aigu, qui se confondit avec la vibration des derniers accords.",C2
Le Président a promis qu'il tiendrait toutes ses promesses.,B1
Qu'est-ce que tu vas faire demain ?,B1
Où est le supermarché?,A1
Il donna cette feuille à l'alouette et lui ordonna de la laisser tomber sur la tête du dragon.,A2
Je vous conseille d'écouter cette histoire deux fois avant de poursuivre.,A2
"Après 22 ans de vie parisienne, cet ancien graphiste a décidé de se consacrer à sa passion de toujours : la cuisine.",C1
Je ne veux plus le voir parce que nous nous sommes disputés la dernière fois que nous nous sommes vus.,A2
"En France, si je parle anglais à mon fils Mathias, il me répond plutôt en français.",B1
Nous les mangeons ensemble samedi soir.,A1
Cela signifie « Pompiers »,C1
Les soixantenaires sont jeunes.,B2
"Et le vieux chef a toujours raison, car il est le seul à parler aux dieux.",B1
J'ai essayé de vous contacter il y a une heure.,A2
Cela nécessite du matériel et un espace suffisant.,B2
J'ai soif.,A1
Léonard de Vinci avait de nombreux amis reconnus dans leurs domaines respectifs ou ayant eu une influence importante sur l'Histoire.,B2
"L'incarnation nous met en présence de l'immuable qui est en soi quelque chose de général ; et cet immuable prenant le caractère d'individualité, ce caractère même devient quelque chose d'universel.",C2
Avez-vous une réduction?,A1
"Je n'aime pas la pluie, surtout pendant les vacances.",A1
Je serai ravi de vous accueillir.,A2
Mes parents aiment le petit chat.,A2
"Comme l'enfant séparé de sa mère trouve dans sa « peluche » un moyen de se rassurer, le smartphone, objet transitionnel, ne permettrait-il pas de lutter contre les frustrations et les affects négatifs provoqués par le monde social ?",C2
Twitter interdira les utilisateurs pour des informations erronées répétées sur les vaccins.,B2
"Il est, plus généralement et incontestablement, le meilleur joueur du monde.",B1
"Cette « fin des grands récits » est en grande partie celle où les lieux étaient classés par étapes – la succession des modes de production marxistes en représentait la version la plus formalisée, mais parler de sous-développement ou de décollage s’inscrivait dans le même paradigme évolutif. .",C2
"Ici, le travail est une punition divine, imposée par Dieu aux Hommes pour les punir de leur désobéissance.",C2
"Même sans forcément se considérer comme un « cyberaddict », chacun peut s’inspirer de ces techniques pour obtenir des conseils.",C2
Ils ne coûtent pas cher,A1
"Je sais qu'elle vit seule avec son père, mais je ne lui ai jamais demandé pourquoi.",B1
"Ces deux étapes sont caractérisées par la difficulté vécue par le couple face aux choix imposés par l'éducation de leurs enfants (école, religion, langue, etc.).",C2
"Ainsi, la patience inaltérable des professeurs de robots en Corée du Nord et au Japon convient aux enfants autistes, mais personne ne sait comment évolueront les autres enfants qui n’apprennent pas à gérer les humeurs d’un professeur humain.",C1
La communauté scientifique apprécie peu la présence des femmes.,B2
Les générations plus âgées sont beaucoup plus conservatrices que les jeunes générations.,B2
Êtes-vous à la maison ?,A1
Quand les rencontrer ?,A2
"Entre ceux qui ne jurent que par l'introduction de l'informatique comme scolarité obligatoire, et ceux qui craignent que l'on veuille transformer l'école primaire en préparation à l'école 42, il existe néanmoins des pistes pour initier les enseignants et favoriser une transition du périscolaire à l'école, sans il faudra attendre une réforme du socle commun qui prendra des années.",C2
Un message d'urgence des pompiers vient d'être reçu :,A2
J’étais donc lycéen et pompier à la fois.,A2
Un journaliste d'Art Press a interviewé Agathe à propos de la performance à laquelle elle a participé.,B2
Je ne pense pas que les enfants réussiront.,A2
C'est vrai qu'ils sont très bien mais j'ai peur qu'il tombe malade,B1
"C'est bon pour samedi, je viens avec ma sœur Katrine.",A1
"Les cyanobactéries se distinguent des bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouges et bleues.",C1
"Celles-ci n'influenceront la recherche scientifique que vers le milieu du XVIIe siècle : et on peut, me semble-t-il, attribuer le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur l'extension au grand naturaliste Réaumur. de la vie chez les insectes.",C2
"Même à l’université, les études sont trop ciblées et seulement 5 % des étudiants titulaires d’un doctorat occuperont un poste académique.",C2
"Et si boire chaud donne chaud, c'est une bénédiction déguisée car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B1
"Le soir, vous devez revenir en empruntant le même itinéraire que le matin.",A2
Je suis vraiment plus dans le flow,A2
L'élastique s'est étiré.,B1
"Cet auteur, si largement lu pour son impertinente Grammaire, propose également. Jeux pour lire vite (Retz)",C2
"Des coutumes similaires existaient autrefois, notamment dans le Finistère : les enfants s'amusaient à déterrer des betteraves à la Toussaint pour effrayer les gens du quartier.",B2
"Elle ressemble à un bébé tigre, mais c'est un tigre très effrayé.",A2
"De nombreux indicateurs lui permettent de suivre l’évolution de la situation, et à mesure que l’épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation.",C1
Alice a un chien.,A1
Pierre qui roule n'amasse pas mousse,C1
Elle n'était pas là.,A1
Des réponses aux questions que nous nous posons sur nous-mêmes et sur les autres.,A2
"Cependant, le chef du service nous a confirmé que les conditions de réception et de délivrance de vos documents administratifs étaient respectées selon les normes établies par notre ministère.",C2
Tous les jeunes ?,A2
"Il avait emporté sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes avec sa vieille amie Sylvaine qu'il a beaucoup vue avant de vivre à Valencienne.",B1
"Ensuite, nous irons au cinéma local qui organise chaque année des séances spéciales.",C1
Les résultats de deux études sur les métriques utilisées par les entreprises pour évaluer leur capital intellectuel,C2
La ville entière s'illumine autour du marché de Noël qui ravit les passants avec ses illuminations qui réchauffent les cœurs dans le froid de l'hiver.,B2
"Si vous êtes intéressé, appelez-moi.",A1
"Les quinquagénaires d'aujourd'hui imaginent la retraite comme active, forcément active.",C1
Mon père a eu une mutation pour venir travailler à Paris.,A1
"Vous pouvez également aller au théâtre, aux musées ou au cinéma",A1
"Je suis toujours au bureau, je rentrerai plus tard.",A1
Nous allons manger dans le jardin.,A1
"Il aurait vidé de la même manière un tonneau entier, lui semblait-il ; il aurait mangé un bœuf, étranglé un lion.",B2
"Feuille tirée d'un arbre du paradis, sur laquelle est écrit un mot en lettres d'or du Père Éternel.",A2
"Ne vous inquiétez pas, vous vous habituerez rapidement à votre nouvelle vie.",A2
Les réseaux sociaux font l’objet d’un étonnant paradoxe.,B2
"Il s'agit d'un enrichissement culturel, car l'enfant peut alors s'ouvrir, à travers cette langue différente, à des traits typologiques présents dans de nombreuses autres langues, auxquels le bilinguisme français breton offre un accès indirect.",C2
Vous avez bien étudié et réussi facilement.,A2
Le journal n'explique pas comment ce prisonnier s'est évadé.,B1
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1
