id,sentence,difficulty
88,Elle peut donc ouvrir d'autres réflexions et finalement devenir très enrichissante.,B2
89,"Ce paysan pleurait et prétendait qu'on lui avait tout pris ; Fabrice lui donna un écu, et il trouva de l'avoine.",B2
90,"La première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise ""potentielle"" de l'urbanisation, maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s'est doté.",C2
91,Le petit chat a plu à mes parents,A2
92,Se prémunir contre l'altération des données et avoir la certitude qu'elles n'ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur celles-ci.,C2
93,"[.] Nous sommes des joueurs/joués3"".",B2
94,"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",B1
95,Vous avez dit la seule chose intelligente !,A2
96,Mon ami ne répond pas au téléphone.,A1
97,Mon frère Patrice est plus jeune que moi,A2
98,"Ils sont en vacances, il n'y a que nous sur cette partie de l'île.",B1
99,"Quand il y a des nuages avec de la neige qui tombe, c'est qu'il va neiger et qu'il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",B1
100,"Un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment, desservant une succession de bureaux.",C2
101,"Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d'emploi grâce à notre système d'alerte personnalisé.",B2
102,"Ça nous a donc coûté de l'argent, s'énerve-t-elle.",B1
103,Vous vous appelez comment ?,A1
104,"Fabrice, à peine âgé de seize ans, représentait fort bien le chef de la maison.",B2
105,"Oui, je suis à Paris depuis vingt jours à peine.",A1
106,"L'apprentissage du code et plus largement d'une culture générale du numérique à l'école est une mesure réclamée depuis longtemps par l'Académie des Sciences, soutenue par des acteurs qui comptent dans le secteur numérique, comme la Cnil ou le Conseil national du numérique, et qui figure même dans une proposition de loi de la députée UMP Laure de la Raudière.",C2
107,Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?,B1
108,"Quand je rentre, je demande à mes parents si je peux t'appeler pour avoir de tes nouvelles.",A2
109,"L'important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c'est que chacun des créditeurs, des créanciers soit traité de la même façon.",B2
110,"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à ""mettre fin au coup d'Etat"".",C1
111,Le directeur aurait donné de nouvelles consignes au personnel.,B2
112,Vos regards m'observent.,C2
113,De nombreux auteurs ont spéculé sur les différents aspects de la personnalité de Léonard.,C1
114,"Les conséquences sur la nature sont gravissimes, notamment sur les océans qui contiendraient selon la revue américaine Science plus de 110 millions de tonnes de déchets plastiques.",B2
115,"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte. ""Il y a toujours un événement déclencheur"", constate la directrice de Changer tout.",B2
116,"Mon père, bien qu'il observât strictement les convenances extérieures, se permettait assez fréquemment des propos légers sur les liaisons d'amour : il les regardait comme des amusements, sinon permis, du moins excusables, et considérait le mariage seul sous un rapport sérieux.",C2
117,Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,A2
118,Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l'avaient acheté.,B2
119,L'émigration galicienne sous-tend l'évolution du peuplement et l'explique en grande partie.,C1
120,Ces tanières se fondent dans la nature pour être quasiment invisibles.,C1
121,Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,C2
122,Il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes.,B2
123,"Nos prophéties disent que tant qu'il y aura des bisons sauvages, nous survivrons.",C1
124,"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête",A2
125,"Réaffirmant que le Sénat ne s'était livré à aucun chantage contrairement aux allégations du rapporteur pour l'Assemblée nationale, il a, au contraire, affirmé que la position de la Haute Assemblée relevait d'une conception cohérente et constante de la société.",C1
126,"Quelques coups de battoir partaient encore, espacés, au milieu des rires adoucis, des conversations qui s'empâtaient dans un bruit glouton de mâchoires ; tandis que la machine à vapeur, allant son train, sans repos ni trêve, semblait hausser la voix, vibrante, ronflante, emplissant l'immense salle. Mais pas une des femmes ne l'entendait ; c'était comme la respiration même du lavoir, une haleine ardente amassant sous les poutres du plafond l'éternelle buée qui flottait. La chaleur devenait intolérable ; des rais de soleil entraient à gauche, par les hautes fenêtres, allumant les vapeurs fumantes de nappes opalisées, d'un gris rose et d'un gris bleu très tendre ; et, comme des plaintes s'élevaient, le garçon Charles allait d'une fenêtre à l'autre, tirait des stores de grosse toile ; ensuite, il passa de l'autre côté, du côté de l'ombre, et ouvrit des vasistas.",C2
127,Que du bonheur !,A2
128,On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,B2
129,"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a ""supplanté le calcul mental y compris pour des opérations basiques, et que l'utilisation d'un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont ont été mémorisées en amont et c'est grâce à cette assimilation de connaissances basiques que l'apprenant peut utiliser la calculatrice"".",C1
130,"Tous, sauf un petit oiseau.",A1
131,Sa santé s'est dégradée à cause d'une infection sévère et ses jours sont comptés.,B2
132,La chose me vient d'être certifiée.,B1
133,La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,B1
134,J'ai le plaisir de vous annoncer que votre demande d'inscription à l'université de Strasbourg en première année de master Sciences et Société a été acceptée,B1
135,"Une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon un sondage publié vendredi",C2
136,"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",B2
137,"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2
138,"La cinquantaine est un bel âge: on gagne en profondeur et en bienveillance, constate Philippe Wattier.",C1
139,Les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les élèves des deux sexes.,C1
140,"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",B2
141,"Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",A1
142,Elle ne ressemble à aucune des filles que je connais.,A2
143,"Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !",B2
144,"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",C1
145,"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course poursuite menée par Armel depuis le 23 novembre dernier, quarante-sept jours de haute tension qui se terminent aujourd'hui",C1
146,Pourquoi on ne peut pas entrer dans la chambre ?,A1
147,À très bientôt.,A2
148,"C'était cette comparaison, tacitement et inlassablement répétée dans une même toile, qui y introduisait cette puissante et multiforme unité, cause, parfois non clairement aperçue par eux, de l'enthousiasme qu'excitait chez certains amateurs la peinture d'Elstir.",C2
149,Soyons sérieux,B2
150,Bienheureux le quidam que voilà débarrassé de cette peur originelle d'échouer et de faire faux,C2
151,Je prends le train.,A1
152,"C'est dans sa lettre à Schuller, extraite de sa Correspondance, que Spinoza dénonce l'illusion du libre arbitre",C2
153,Je prends mon petit-déjeuner dans la cuisine.,A1
154,Il nous arrive de procéder de cette façon de temps en temps.,A2
155,"Alors qu'au cours du Paléolithique, la diffusion avait fractionné l'écoumène en petits groupes, la tendance depuis la fin de la dernière glaciation est à l'épaississement des relations dans l'Ancien Monde, par augmentation des effectifs et par tissage d'interconnexions.",C2
156,"Or, la croissance démographique concerne surtout les pays en voie de développement, qui connaissent aujourd'hui des problèmes de sous-alimentation et de mauvaise alimentation.",C1
157,Je suis dans ma chambre.,A1
158,Une indéniable sérénité se reflétait sur ses traits.,C2
159,Le jour de l'An correspond au 1 janvier.,A1
160,"Étant féru d'art, Yves Saint Laurent a constitué, au fil des années, une importante collection d'objets précieux et de peintures qui ont inspiré certaines de ses créations.",C1
161,Ils suivaient une sente creuse que dominait des deux côtés un talus de six pieds de haut.,C2
162,Je ne comprends pas.,A1
163,"Mais, à partir de ce moment, elle n'écouta plus ; et le choeur des conviés, la scène d'Ashton et de son valet, le grand duo en ré majeur, tout passa pour elle dans l'éloignement, comme si les instruments fussent devenus moins sonores et les personnages plus reculés ; elle se rappelait les parties de cartes chez le pharmacien, et la promenade chez la nourrice, les lectures sous la tonnelle, les tête-à-tête au coin du feu, tout ce pauvre amour si calme et si long, si discret, si tendre, et qu'elle avait oublié cependant.",C2
164,"Et nos esprits qui reçoivent les instructions de ces organes, diversement impressionnés, comprennent, analysent et jugent comme si chacun de nous appartenait à une autre race.",C1
165,"Trop concrète peut-être après le temps du rêve. Aucun terminus ne semble, pour l'écrivain, pouvoir justifier d'avoir enduré tant de souffrances, ni inciter à rompre avec le temps du vagabondage.",C2
166,"""Nous explorons la meilleure voie légale, probablement via le système interaméricain, en invoquant la déclaration des droits de l'homme de 1948"".",C1
167,"À ce compte-là, les cours de langue au collège pourraient être profitablement remplacés par des séances de mémorisation de l'annuaire",C2
168,Je préfère un autre bijou.,A1
169,Il n'a pas de veste,A1
170,Un autre inconvénient à cette interdiction est le risque de priver les adolescents d'un apprentissage sur l'utilisation raisonnée d'Internet et des réseaux sociaux.,B2
171,Le massacre est commémoré sur le drapeau de la ville de Chicago par sa première étoile rouge,B1
172,Je ne trouve pas la rue du marché.,A1
173,"Fruit d'une pensée élaborée depuis la Renaissance, l'individualisme est un projet de société dans lequel chacun devrait trouver les meilleures conditions de sa réalisation et de son épanouissement.",C1
174,"Cette année, ce n'est pas moins de 12 millions d'élèves qui ont repris le chemin de l'école.",A2
175,"Sébastien Granet et Hélène Lavoie, la cheffe, nous ont accueillis malgré un autobus de visiteurs qui ripaillaient",C2
176,Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.,B2
177,"C'est pourquoi nous demandons aujourd'hui que le président de la République tienne sa parole et soumette, 'sans filtre', les propositions de la Convention au référendum, au parlement ou à application réglementaire directe.",C1
178,Je ne trouve pas mes clés de maison.,A1
179,"Les industriels polluent l'eau, l'air et les sols avec leurs produits toxiques.",B2
180,Il met son plus beau costume et son chapeau,B1
181,"D'abord, la dernière élection présidentielle, où le vote pour le Front national fut autant le fait des jeunes électeurs que de leurs aînés.",B2
182,"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soient enseignée à l'école (24 % à partir du primaire, 41 % à partir du collège).",C2
183,Les parents de banlieue se sont organisés pour les devoirs des enfants.,A2
184,Vous attendîtes la surprise que vos parents vous eurent promise,C2
185,"Le duo n'a pas grand chose en commun, mis à part ses positions relativement conservatrices, qui lui vaut les foudres des progressistes.",B2
186,"Or, sur les quelque 6 000 langues qui existent actuellement dans le monde, la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000.",C1
187,"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.",B2
188,A qui appartient le chien qui aboie nuit et jour ?,B1
189,Elle sait parler anglais et espagnol,A1
190,"Ce phénomène, c'est l'apparition d'une génération inédite.",B2
191,"Après l'ambiance de luxe, ici c'est comme un tranquille village",B1
192,"Des chiffres tirés d'une des rares enquêtes sur le sujet, réalisée en 2000 (publiée en 2001) par l'Institut de recherche sur l'économie de l'éducation auprès des parents de 2 500 enfants de l'académie.",C2
193,Monet peignit ce portrait emplit de sensualité et lourd de symbolisme.,C1
194,Elle pense à lui.,A1
195,"Oui, l'ouragan a touché terre la nuit dernière dans le nord du Nicaragua, il s'est ensuite étendu à plusieurs pays d'Amérique centrale",B1
196,Je viens d'emménager dans ma nouvelle maison,A2
197,"De toute façon, chacun sait que, pour choisir son logement idéal, cela peut prendre plusieurs mois.",B1
198,"Parmi les habitants de la région, il y a ceux qui veulent revenir et ceux qui ne veulent pas",A2
199,Nous apportons des arguments experimentaux et théoriques en faveur d'un mecanisme intramoleculaire.,C2
200,"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",B1
201,"Dans les campagnes, c'est différent !",A2
202,Faites des groupes de trois personnes.,A1
203,"La salle craquait sous les bravos ; on recommença la strette entière ; les amoureux parlaient des fleurs de leur tombe, de serments, d'exil, de fatalité, d'espérances, et quand ils poussèrent l'adieu final, Emma jeta un cri aigu, qui se confondit avec la vibration des derniers accords.",C2
204,Le Président a promis qu'il tiendrait toutes ses promesses.,B1
205,Qu'allez-vous faire demain ?,B1
206,Où se trouve le supermarché?,A1
207,"Il donna cette feuille à l'alouette, et lui ordonna de la laisser tomber sur la tête du dragon.",A2
208,Je vous conseille d'écouter deux fois cette histoire avant de passer à la suite.,A2
209,"Après 22 ans de vie parisienne, cet ancien designer-graphiste a décidé de se consacrer à sa passion de toujours : la cuisine",C1
210,Je ne veux plus le voir parce qu'on s'est disputés la dernière fois que l'on s'est vus.,A2
211,"En France, si je parle anglais à mon fils, Mathias, il me répond plutôt en français.",B1
212,Nous les mangeons ensemble le samedi soir.,A1
213,"Ça veut dire ""Sapeurs-Pompiers""",C1
214,Les sexagénaires sont jeunes.,B2
215,"Et le vieux chef a toujours raison, car c'est le seul qui parle aux dieux.",B1
216,J'ai cherché à te joindre il y a une heure.,A2
217,Cela nécessite des équipements et suffisamment de place.,B2
218,J'ai soif.,A1
219,Léonard de Vinci a eu beaucoup d'amis qui sont reconnus dans leurs domaines respectifs ou ont eu une influence importante sur l'Histoire.,B2
220,"L'incarnation nous met en présence de l'immuable qui est par lui-même quelque chose de général; et cet immuable revêtant le caractère de l'individualité, ce caractère même devient quelque chose d'universel.",C2
221,Vous avez une réduction ?,A1
222,"Je n'aime pas la pluie, surtout pendant les vacances.",A1
223,Je serai ravi de t'accueillir.,A2
224,Le petit chat plaît à mes parents.,A2
225,"Comme l'enfant séparé de sa mère trouve dans son ""doudou"" un moyen de se rassurer, le smartphone, objet transitionnel, ne permettrait-il pas de lutter contre les frustrations et affects négatifs provoqués par le monde social ?",C2
226,Twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins.,B2
227,"C'est, de manière plus générale et de façon indiscutable, le meilleur joueur du monde.",B1
228,"Cette ""fin des grands récits"" est largement celle où les lieux étaient classés par étapes - la succession des modes de production marxistes en représentait la version la plus formalisée, mais parler de sous-développement ou de décollage s'inscrivait dans le même paradigme évolutionniste.",C2
229,"Ici, le travail est un châtiment divin, imposé par Dieu aux Hommes pour les punir de leur désobéissance",C2
230,"Même sans se considérer forcément comme un ""cyberaddict"", tout un chacun peut s'inspirer de ces techniques pour y puiser des conseils.",C2
231,Ils sont pas chers,A1
232,"Je sais qu'elle vit seule avec son père, mais je ne lui ai jamais demandé pourquoi.",B1
233,"Ces deux étapes se caractérisent pas la difficulté éprouvée par le couple devant les choix qu'impose l'éducation de leurs enfants (école, religion, langue.).",C2
234,"Ainsi l'inaltérable patience de robots instituteurs en Corée du Nord et au Japon convient elle aux enfants autistes, mais nul ne sait comment évolueront les autres enfants qui n'apprennent pas à composer avec les humeurs d'un professeur humain.",C1
235,La communauté scientifique apprécie peu la présence de femmes.,B2
236,Les anciennes générations sont beaucoup plus conservatrices que les jeunes générations.,B2
237,Etes-vous à la maison ?,A1
238,Quand les rencontrer?,A2
239,"Entre ceux qui ne jurent que par l'introduction de l'informatique comme un enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une prépa à l'Ecole 42, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",C2
240,Un message d'urgence des pompiers vient de tomber :,A2
241,J'étais donc lycéen et pompier à la fois.,A2
242,Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,B2
243,Je ne crois pas que les enfants vont réussir.,A2
244,C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,B1
245,"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",A1
246,"Les Cyanobactéries se distinguent des Bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.",C1
247,"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe siècle: et l'on peut, il me semble, attribuer au grand naturaliste Réaumur le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes.",C2
248,"Même à l'université, les études sont trop focalisées et seuls 5 % des étudiants qui ont un doctorat occuperont une fonction académique.",C2
249,"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B1
250,"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2
251,Je suis vraiment plus dans le flow,A2
252,L'élastique s'est distendu.,B1
253,Cet auteur tellement lu pour sa Grammaire impertinente propose aussi. des Jeux pour lire vite (Retz),C2
254,Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2
255,"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A2
256,"De nombreux indicateurs lui permettent de suivre l'évolution de la situation, et au fur et à mesure que l'épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation.",C1
257,Alice a un chien.,A1
258,Pierre qui roule n'amasse pas mousse,C1
259,Elle n'était pas là.,A1
260,Des réponses aux questions que l'on se pose sur soi et sur les autres.,A2
